name,species,age,date
U12959_0_0,bison,0,2013
U12958_0_0,bison,0,2013
U12957_0_0,bison,0,2013
U12956_0_0,bison,0,2013
U12955_0_0,bison,0,2013
U12948_0_0,bison,0,2013
U12947_0_0,bison,0,2013
U12946_0_0,bison,0,2013
U12945_0_0,bison,0,2013
U12944_0_0,bison,0,2013
U12943_0_0,bison,0,2013
U12941_0_0,bison,0,2013
U12936_0_0,bison,0,2013
U12935_0_0,bison,0,2013
IB179_LC_14407_172,bison,14407,-12394
BS99_26_5,bison,26,1987
BS100_29_5,bison,29,1984
BS102_22_5,bison,22,1991
BS105_F_28036_538,bison,28036,-26023
BS107_F_23338_405,bison,23338,-21325
BS108_F_25148_507,bison,25148,-23135
BS109_F_24752_474,bison,24752,-22739
BS111_F_25920_503,bison,25920,-23907
BS121_F_23050_392,bison,23050,-21037
BS123_BlR_1638_77,bison,1638,375
BS124_BlR_13734_67,bison,13734,-11721
BS125_F_32769_852,bison,32769,-30756
BS126_F_22778_353,bison,22778,-20765
BS130_BlR_10124_336,bison,10124,-8111
BS133_F_39219_1838,bison,39219,-37206
BS145_NS_14064_82,bison,14064,-12051
BS147_NS_33491_340,bison,33491,-31478
BS148_NS_7326_56,bison,7326,-5313
BS149_NS_49975_3033,bison,49975,-47962
BS150_NS_12463_74,bison,12463,-10450
BS151_NS_25879_207,bison,25879,-23866
BS163_LC_15418_135,bison,15418,-13405
BS164_LC_23319_207,bison,23319,-21306
BS165_LC_31728_228,bison,31728,-29715
BS170_YT_15189_126,bison,15189,-13176
BS172_LC_14530_155,bison,14530,-12517
BS173_NTC_3433_45,bison,3433,-1420
BS175_ICE_189_90,bison,189,1824
BS177_NTC_3376_30,bison,3376,-1363
BS178_LC_21306_158,bison,21306,-19293
BS192_F_31555_353,bison,31555,-29542
BS193_NS_54973_5578,bison,54973,-52960
BS195_NS_34450_377,bison,34450,-32437
BS198_Y_2534_113,bison,2534,-521
BS200_AB_145_37,bison,145,1868
BS201_Y_15098_116,bison,15098,-13085
BS206_Sibh_28487_208,bison,28487,-26474
BS211_Sibh_47345_1795,bison,47345,-45332
BS216_NS_51433_4004,bison,51433,-49420
BS218_Si_17329_200,bison,17329,-15316
BS222_NWT_6977_65,bison,6977,-4964
BS224_AK_15286_132,bison,15286,-13273
BS233_SW_19815_112,bison,19815,-17802
BS235_BlR_47663_812,bison,47663,-45650
BS236_SW_23123_196,bison,23123,-21110
BS237_AB_13078_74,bison,13078,-11065
BS243_SW_42608_385,bison,42608,-40595
BS244_LC_31459_232,bison,31459,-29446
BS248_OCr_14184_133,bison,14184,-12171
BS249_F_44027_508,bison,44027,-42014
BS253_LC_14753_112,bison,14753,-12740
BS254_CHL_11969_101,bison,11969,-9956
BS258_F_26606_184,bison,26606,-24593
BS260_D_36116_312,bison,36116,-34103
BS261_LC_15046_120,bison,15046,-13033
BS262_D_34559_528,bison,34559,-32546
BS281_BlR_45428_564,bison,45428,-43415
BS284_Y_15298_125,bison,15298,-13285
BS287_BlR_53766_3094,bison,53766,-51753
BS289_BlR_2179_70,bison,2179,-166
BS291_NS_54640_3130,bison,54640,-52627
BS292_NS_40991_686,bison,40991,-38978
BS311_BlR_14318_121,bison,14318,-12305
BS318_NS_14287_125,bison,14287,-12274
BS320_SI_54524_3181,bison,54524,-52511
BS321_AK_10773_101,bison,10773,-8760
BS323_SI_42831_370,bison,42831,-40818
BS327_D_36904_276,bison,36904,-34891
BS328_SIdy_37069_233,bison,37069,-35056
BS337_CHL_12219_95,bison,12219,-10206
BS340_NS_29303_251,bison,29303,-27290
BS342_CHL_12142_84,bison,12142,-10129
BS345_NS_44554_1062,bison,44554,-42541
BS348_CHL_12458_69,bison,12458,-10445
BS350_NS_43597_885,bison,43597,-41584
BS359_NTC_23916_185,bison,23916,-21903
BS364_NS_43685_971,bison,43685,-41672
BS387_NS_38708_551,bison,38708,-36695
BS390_NS_37007_470,bison,37007,-34994
BS392_NS_41536_712,bison,41536,-39523
BS393_NS_44598_1063,bison,44598,-42585
BS394_NS_42528_788,bison,42528,-40515
BS395_NS_40700_1300,bison,40700,-38687
BS396_NS_28375_237,bison,28375,-26362
BS397_NS_37762_498,bison,37762,-35749
BS412_Y_35875_270,bison,35875,-33862
BS414_BlR_5155_126,bison,5155,-3142
BS415_D_36194_976,bison,36194,-34181
BS417_AB_823_51,bison,823,1190
BS418_China_31830_741,bison,31830,-29817
BS419_AB_8309_54,bison,8309,-6296
BS421_AB_9068_59,bison,9068,-7055
BS422_AB_822_52,bison,822,1191
BS423_AB_5387_58,bison,5387,-3374
BS424_AB_216_86,bison,216,1797
BS426_AB_7898_47,bison,7898,-5885
BS428_AB_7936_37,bison,7936,-5923
BS429_AB_7620_31,bison,7620,-5607
BS432_AB_8126_56,bison,8126,-6113
BS433_AB_12368_110,bison,12368,-10355
BS434_AB_715_26,bison,715,1298
BS439_AB_6658_49,bison,6658,-4645
BS441_AB_1220_44,bison,1220,793
BS443_AB_39422_466,bison,39422,-37409
BS444_AB_615_37,bison,615,1398
BS445_AB_450_53,bison,450,1563
BS454_AB_337_51,bison,337,1676
BS456_AB_125_30,bison,125,1888
BS459_China_50597_2210,bison,50597,-48584
BS460_AB_12322_112,bison,12322,-10309
BS464_AB_5949_44,bison,5949,-3936
BS465_AB_7943_40,bison,7943,-5930
BS466_AB_3518_51,bison,3518,-1505
BS469_AB_305_24,bison,305,1708
BS472_F_15412_127,bison,15412,-13399
BS477_D_39089_277,bison,39089,-37076
BS478_D_39836_261,bison,39836,-37823
BS490_BlR_2420_75,bison,2420,-407
BS493_NS_55182_5568,bison,55182,-53169
BS495_NS_34987_363,bison,34987,-32974
BS497_NS_35399_537,bison,35399,-33386
BS498_NS_31210_284,bison,31210,-29197
BS499_NS_36784_452,bison,36784,-34771
BS500_NS_40878_529,bison,40878,-38865
BS503_BlR_2863_42,bison,2863,-850
BS517_BlR_2669_71,bison,2669,-656
BS560_AB_2898_36,bison,2898,-885
BS564_Si_29377_158,bison,29377,-27364
BS569_AB_3903_93,bison,3903,-1890
BS570_AB_13158_281,bison,13158,-11145
BS571_SIdy_38309_229,bison,38309,-36296
BS605_NTC_24283_104,bison,24283,-22270
BS592_Ura_46908_440,bison,46908,-44895
BS660_Ura_34923_193,bison,34923,-32910
BS674_Ura_34474_197,bison,34474,-32461
BS708_Ura_50652_2042,bison,50652,-48639
BS713_Ura_36331_219,bison,36331,-34318